rightleftharpoons	⇌	短縮よみ	U+21CC RIGHTWARDS HARPOON OVER LEFTWARDS HARPOON
leftrightharpoons	⇋	短縮よみ	U+21CB LEFTWARDS HARPOON OVER RIGHTWARDS HARPOON
nearrow	↗	短縮よみ	U+2197 NORTH EAST ARROW
searrow	↘	短縮よみ	U+2198 SOUTH EAST ARROW
swarrow	↙	短縮よみ	U+2199 SOUTH WEST ARROW
nwarrow	↖	短縮よみ	U+2196 NORTH WEST ARROW
leadsto	⇝	短縮よみ	U+21DD RIGHTWARDS SQUIGGLE ARROW
rightsquigarrow	⇝	短縮よみ	U+21DD RIGHTWARDS SQUIGGLE ARROW
leftsquigarrow	⇜	短縮よみ	U+21DC LEFTWARDS SQUIGGLE ARROW
nrightarrow	↛	短縮よみ	U+219B RIGHTWARDS ARROW WITH STROKE
nleftarrow	↚	短縮よみ	U+219A LEFTWARDS ARROW WITH STROKE
nleftrightarrow	↮	短縮よみ	U+21AE LEFT RIGHT ARROW WITH STROKE
langle	⟨	短縮よみ	U+27E8 MATHEMATICAL LEFT ANGLE BRACKET
rangle	⟩	短縮よみ	U+27E9 MATHEMATICAL RIGHT ANGLE BRACKET
lceil	⌈	短縮よみ	U+2308 LEFT CEILING
rceil	⌉	短縮よみ	U+2309 RIGHT CEILING
lfloor	⌊	短縮よみ	U+230A LEFT FLOOR
rfloor	⌋	短縮よみ	U+230B RIGHT FLOOR
ulcorner	⌜	短縮よみ	U+231C TOP LEFT CORNER
urcorner	⌝	短縮よみ	U+231D TOP RIGHT CORNER
llcorner	⌞	短縮よみ	U+231E BOTTOM LEFT CORNER
lrcorner	⌟	短縮よみ	U+231F BOTTOM RIGHT CORNER
lbrack	[	短縮よみ	U+005B LEFT SQUARE BRACKET
rbrack	]	短縮よみ	U+005D RIGHT SQUARE BRACKET
lbrace	{	短縮よみ	U+007B LEFT CURLY BRACKET
rbrace	}	短縮よみ	U+007D RIGHT CURLY BRACKET
lparen	(	短縮よみ	U+0028 LEFT PARENTHESIS
rparen	)	短縮よみ	U+0029 RIGHT PARENTHESIS
vert	|	短縮よみ	U+007C VERTICAL LINE
bar	|	短縮よみ	U+007C VERTICAL LINE
Vert	‖	短縮よみ	U+2016 DOUBLE VERTICAL LINE
norm	‖	短縮よみ	U+2016 DOUBLE VERTICAL LINE
lvert	|	短縮よみ	U+007C VERTICAL LINE
rvert	|	短縮よみ	U+007C VERTICAL LINE
lVert	‖	短縮よみ	U+2016 DOUBLE VERTICAL LINE
rVert	‖	短縮よみ	U+2016 DOUBLE VERTICAL LINE
ldots	…	短縮よみ	U+2026 HORIZONTAL ELLIPSIS
dots	…	短縮よみ	U+2026 HORIZONTAL ELLIPSIS
ellipsis	…	短縮よみ	U+2026 HORIZONTAL ELLIPSIS
cdots	⋯	短縮よみ	U+22EF MIDLINE HORIZONTAL ELLIPSIS
vdots	⋮	短縮よみ	U+22EE VERTICAL ELLIPSIS
ddots	⋱	短縮よみ	U+22F1 DOWN RIGHT DIAGONAL ELLIPSIS
adots	⋰	短縮よみ	U+22F0 UP RIGHT DIAGONAL ELLIPSIS
prime	′	短縮よみ	U+2032 PRIME
dprime	″	短縮よみ	U+2033 DOUBLE PRIME
doubleprime	″	短縮よみ	U+2033 DOUBLE PRIME
tprime	‴	短縮よみ	U+2034 TRIPLE PRIME
tripleprime	‴	短縮よみ	U+2034 TRIPLE PRIME
qprime	⁗	短縮よみ	U+2057 QUADRUPLE PRIME
degree	°	短縮よみ	U+00B0 DEGREE SIGN
deg	°	短縮よみ	U+00B0 DEGREE SIGN
angle	∠	短縮よみ	U+2220 ANGLE
measuredangle	∡	短縮よみ	U+2221 MEASURED ANGLE
sphericalangle	∢	短縮よみ	U+2222 SPHERICAL ANGLE
rightangle	∟	短縮よみ	U+221F RIGHT ANGLE
triangle	△	短縮よみ	U+25B3 WHITE UP-POINTING TRIANGLE
triangleup	△	短縮よみ	U+25B3 WHITE UP-POINTING TRIANGLE
triangledown	▽	短縮よみ	U+25BD WHITE DOWN-POINTING TRIANGLE
blacktriangle	▲	短縮よみ	U+25B2 BLACK UP-POINTING TRIANGLE
blacktriangledown	▼	短縮よみ	U+25BC BLACK DOWN-POINTING TRIANGLE
diamond	⋄	短縮よみ	U+22C4 DIAMOND OPERATOR
lozenge	◊	短縮よみ	U+25CA LOZENGE
square	□	短縮よみ	U+25A1 WHITE SQUARE
blacksquare	■	短縮よみ	U+25A0 BLACK SQUARE
frown	⌢	短縮よみ	U+2322 FROWN
smile	⌣	短縮よみ	U+2323 SMILE
checkmark	✓	短縮よみ	U+2713 CHECK MARK
check	✓	短縮よみ	U+2713 CHECK MARK
crossmark	✗	短縮よみ	U+2717 BALLOT X
maltese	✠	短縮よみ	U+2720 MALTESE CROSS
dagger	†	短縮よみ	U+2020 DAGGER
ddagger	‡	短縮よみ	U+2021 DOUBLE DAGGER
hbar	ℏ	短縮よみ	U+210F PLANCK CONSTANT OVER TWO PI
hslash	ℏ	短縮よみ	U+210F PLANCK CONSTANT OVER TWO PI
ell	ℓ	短縮よみ	U+2113 SCRIPT SMALL L
angstrom	Å	短縮よみ	U+00C5 LATIN CAPITAL LETTER A WITH RING ABOVE
aleph	ℵ	短縮よみ	U+2135 ALEF SYMBOL
beth	ℶ	短縮よみ	U+2136 BET SYMBOL
gimel	ℷ	短縮よみ	U+2137 GIMEL SYMBOL
daleth	ℸ	短縮よみ	U+2138 DALET SYMBOL
Re	ℜ	短縮よみ	U+211C BLACK-LETTER CAPITAL R
realpart	ℜ	短縮よみ	U+211C BLACK-LETTER CAPITAL R
Im	ℑ	短縮よみ	U+2111 BLACK-LETTER CAPITAL I
imagpart	ℑ	短縮よみ	U+2111 BLACK-LETTER CAPITAL I
imath	ı	短縮よみ	U+0131 LATIN SMALL LETTER DOTLESS I
jmath	ȷ	短縮よみ	U+0237 LATIN SMALL LETTER DOTLESS J
dif	ⅆ	短縮よみ	U+2146 DOUBLE-STRUCK ITALIC SMALL D
differentiald	ⅆ	短縮よみ	U+2146 DOUBLE-STRUCK ITALIC SMALL D
Dif	ⅅ	短縮よみ	U+2145 DOUBLE-STRUCK ITALIC CAPITAL D
differentialD	ⅅ	短縮よみ	U+2145 DOUBLE-STRUCK ITALIC CAPITAL D
euler	ℯ	短縮よみ	U+212F SCRIPT SMALL E
imaginaryi	ⅈ	短縮よみ	U+2148 DOUBLE-STRUCK ITALIC SMALL I
imagunit	ⅈ	短縮よみ	U+2148 DOUBLE-STRUCK ITALIC SMALL I
imaginaryj	ⅉ	短縮よみ	U+2149 DOUBLE-STRUCK ITALIC SMALL J
