bbz	ℤ	短縮よみ
rationals	ℚ	短縮よみ
rational	ℚ	短縮よみ
QQ	ℚ	短縮よみ
bbq	ℚ	短縮よみ
reals	ℝ	短縮よみ
real	ℝ	短縮よみ
RR	ℝ	短縮よみ
bbr	ℝ	短縮よみ
complex	ℂ	短縮よみ
complexes	ℂ	短縮よみ
CC	ℂ	短縮よみ
bbc	ℂ	短縮よみ
primeset	ℙ	短縮よみ
PP	ℙ	短縮よみ
bbp	ℙ	短縮よみ
bbA	𝔸	短縮よみ
bba	𝔸	短縮よみ
bbB	𝔹	短縮よみ
bbb	𝔹	短縮よみ
bbD	𝔻	短縮よみ
bbd	𝔻	短縮よみ
bbE	𝔼	短縮よみ
bbe	𝔼	短縮よみ
bbF	𝔽	短縮よみ
bbf	𝔽	短縮よみ
bbG	𝔾	短縮よみ
bbg	𝔾	短縮よみ
bbH	ℍ	短縮よみ
HH	ℍ	短縮よみ
bbh	ℍ	短縮よみ
bbI	𝕀	短縮よみ
bbi	𝕀	短縮よみ
bbJ	𝕁	短縮よみ
bbj	𝕁	短縮よみ
bbK	𝕂	短縮よみ
bbk	𝕂	短縮よみ
bbL	𝕃	短縮よみ
bbl	𝕃	短縮よみ
bbM	𝕄	短縮よみ
bbm	𝕄	短縮よみ
bbO	𝕆	短縮よみ
bbo	𝕆	短縮よみ
bbS	𝕊	短縮よみ
bbs	𝕊	短縮よみ
bbT	𝕋	短縮よみ
bbt	𝕋	短縮よみ
bbU	𝕌	短縮よみ
bbu	𝕌	短縮よみ
bbV	𝕍	短縮よみ
bbv	𝕍	短縮よみ
bbW	𝕎	短縮よみ
bbw	𝕎	短縮よみ
bbX	𝕏	短縮よみ
bbx	𝕏	短縮よみ
bbY	𝕐	短縮よみ
bby	𝕐	短縮よみ
calA	𝒜	短縮よみ
calB	ℬ	短縮よみ
calC	𝒞	短縮よみ
calD	𝒟	短縮よみ
calE	ℰ	短縮よみ
calF	ℱ	短縮よみ
calG	𝒢	短縮よみ
calH	ℋ	短縮よみ
calI	ℐ	短縮よみ
calJ	𝒥	短縮よみ
calK	𝒦	短縮よみ
calL	ℒ	短縮よみ
calM	ℳ	短縮よみ
calN	𝒩	短縮よみ
calO	𝒪	短縮よみ
calP	𝒫	短縮よみ
calQ	𝒬	短縮よみ
calR	ℛ	短縮よみ
calS	𝒮	短縮よみ
calT	𝒯	短縮よみ
calU	𝒰	短縮よみ
calV	𝒱	短縮よみ
calW	𝒲	短縮よみ
calX	𝒳	短縮よみ
calY	𝒴	短縮よみ
calZ	𝒵	短縮よみ
frakA	𝔄	短縮よみ
frakB	𝔅	短縮よみ
frakC	ℭ	短縮よみ
frakD	𝔇	短縮よみ
frakE	𝔈	短縮よみ
frakF	𝔉	短縮よみ
frakG	𝔊	短縮よみ
frakH	ℌ	短縮よみ
frakI	ℑ	短縮よみ
frakJ	𝔍	短縮よみ
frakK	𝔎	短縮よみ
frakL	𝔏	短縮よみ
frakM	𝔐	短縮よみ
frakN	𝔑	短縮よみ
frakO	𝔒	短縮よみ
frakP	𝔓	短縮よみ
frakQ	𝔔	短縮よみ
frakR	ℜ	短縮よみ
frakS	𝔖	短縮よみ
frakT	𝔗	短縮よみ
frakU	𝔘	短縮よみ
frakV	𝔙	短縮よみ
frakW	𝔚	短縮よみ
frakX	𝔛	短縮よみ
frakY	𝔜	短縮よみ
frakZ	ℨ	短縮よみ
sup0	⁰	短縮よみ
sup1	¹	短縮よみ
sup2	²	短縮よみ
sup3	³	短縮よみ
sup4	⁴	短縮よみ
sup5	⁵	短縮よみ
sup6	⁶	短縮よみ
sup7	⁷	短縮よみ
sup8	⁸	短縮よみ
sup9	⁹	短縮よみ
supplus	⁺	短縮よみ
supminus	⁻	短縮よみ
supeq	⁼	短縮よみ
suplparen	⁽	短縮よみ
suprparen	⁾	短縮よみ
supi	ⁱ	短縮よみ
supn	ⁿ	短縮よみ
sub0	₀	短縮よみ
sub1	₁	短縮よみ
sub2	₂	短縮よみ
sub3	₃	短縮よみ
sub4	₄	短縮よみ
sub5	₅	短縮よみ
sub6	₆	短縮よみ
sub7	₇	短縮よみ
sub8	₈	短縮よみ
sub9	₉	短縮よみ
subplus	₊	短縮よみ
subminus	₋	短縮よみ
subeq	₌	短縮よみ
sublparen	₍	短縮よみ
subrparen	₎	短縮よみ
suba	ₐ	短縮よみ
subh	ₕ	短縮よみ
subi	ᵢ	短縮よみ
subj	ⱼ	短縮よみ
subk	ₖ	短縮よみ
subl	ₗ	短縮よみ
subm	ₘ	短縮よみ
subn	ₙ	短縮よみ
subo	ₒ	短縮よみ
subp	ₚ	短縮よみ
subr	ᵣ	短縮よみ
subs	ₛ	短縮よみ
subt	ₜ	短縮よみ
subu	ᵤ	短縮よみ
subv	ᵥ	短縮よみ
subx	ₓ	短縮よみ
half	½	短縮よみ
quarter	¼	短縮よみ
threequarters	¾	短縮よみ
onethird	⅓	短縮よみ
twothirds	⅔	短縮よみ
onefifth	⅕	短縮よみ
twofifths	⅖	短縮よみ
threefifths	⅗	短縮よみ
fourfifths	⅘	短縮よみ
onesixth	⅙	短縮よみ
fivesixths	⅚	短縮よみ
oneeighth	⅛	短縮よみ
threeeighths	⅜	短縮よみ
fiveeighths	⅝	短縮よみ
seveneighths	⅞	短縮よみ
fracslash	⁄	短縮よみ
arrow.r	→	短縮よみ
arrow.l	←	短縮よみ
arrow.u	↑	短縮よみ
arrow.d	↓	短縮よみ
arrow.l.r	↔	短縮よみ
arrow.r.double	⇒	短縮よみ
arrow.l.double	⇐	短縮よみ
arrow.l.r.double	⇔	短縮よみ
arrow.r.long	⟶	短縮よみ
arrow.l.long	⟵	短縮よみ
arrow.l.r.long	⟷	短縮よみ
arrow.r.double.long	⟹	短縮よみ
arrow.l.double.long	⟸	短縮よみ
arrow.l.r.double.long	⟺	短縮よみ
arrow.r.bar	↦	短縮よみ
arrow.l.bar	↤	短縮よみ
arrow.r.tail	↣	短縮よみ
arrow.l.tail	↢	短縮よみ
arrow.r.twohead	↠	短縮よみ
arrow.l.twohead	↞	短縮よみ
lt.eq	≤	短縮よみ
gt.eq	≥	短縮よみ
eq.not	≠	短縮よみ
approx.not	≉	短縮よみ
approx.eq	≊	短縮よみ
tilde.eq	≃	短縮よみ
tilde.equiv	≅	短縮よみ
equiv.not	≢	短縮よみ
angle.right	∟	短縮よみ
angle.arc	∡	短縮よみ
angle.spheric	∢	短縮よみ
plus.minus	±	短縮よみ
minus.plus	∓	短縮よみ
and.big	⋀	短縮よみ
or.big	⋁	短縮よみ
!=	≠	短縮よみ
<=	≤	短縮よみ
>=	≥	短縮よみ
~~	≈	短縮よみ
~=	≅	短縮よみ
-=	≡	短縮よみ
=>	⇒	短縮よみ
<=>	⇔	短縮よみ
->	→	短縮よみ
<-	←	短縮よみ
<->	↔	短縮よみ
|->	↦	短縮よみ
!in	∉	短縮よみ
-<	≺	短縮よみ
>-	≻	短縮よみ
-<=	≼	短縮よみ
>-=	≽	短縮よみ
+-	±	短縮よみ
-+	∓	短縮よみ
**	∗	短縮よみ
***	⋆	短縮よみ
@	∘	短縮よみ
o+	⊕	短縮よみ
ox	⊗	短縮よみ
o.	⊙	短縮よみ
^^	∧	短縮よみ
vv	∨	短縮よみ
^^^	⋀	短縮よみ
vvv	⋁	短縮よみ
nn	∩	短縮よみ
uu	∪	短縮よみ
nnn	⋂	短縮よみ
uuu	⋃	短縮よみ
O/	∅	短縮よみ
:.	∴	短縮よみ
:'	∵	短縮よみ
/_	∠	短縮よみ
/_\	△	短縮よみ
|__	⌊	短縮よみ
__|	⌋	短縮よみ
|~	⌈	短縮よみ
~|	⌉	短縮よみ
(:	⟨	短縮よみ
:)	⟩	短縮よみ
|--	⊢	短縮よみ
|==	⊨	短縮よみ
_|_	⊥	短縮よみ
sublettera	ₐ	短縮よみ
sublettere	ₑ	短縮よみ
subletterh	ₕ	短縮よみ
subletteri	ᵢ	短縮よみ
subletterj	ⱼ	短縮よみ
subletterk	ₖ	短縮よみ
subletterl	ₗ	短縮よみ
subletterm	ₘ	短縮よみ
sublettern	ₙ	短縮よみ
sublettero	ₒ	短縮よみ
subletterp	ₚ	短縮よみ
